# energy, eels_NLFC_w, eels_LFC_w
0.000000, -0.000000, 0.000000
0.010004, 0.000642, 0.000663
0.020017, 0.001286, 0.001328
0.030037, 0.001933, 0.001996
0.040066, 0.002585, 0.002669
0.050104, 0.003242, 0.003349
0.060149, 0.003906, 0.004036
0.070204, 0.004579, 0.004733
0.080266, 0.005261, 0.005440
0.090337, 0.005954, 0.006160
0.100416, 0.006658, 0.006892
0.110503, 0.007375, 0.007638
0.120599, 0.008105, 0.008399
0.130704, 0.008849, 0.009175
0.140817, 0.009607, 0.009967
0.150938, 0.010379, 0.010775
0.161067, 0.011166, 0.011599
0.171206, 0.011965, 0.012437
0.181352, 0.012775, 0.013288
0.191507, 0.013596, 0.014150
0.201671, 0.014424, 0.015022
0.211843, 0.015257, 0.015898
0.222023, 0.016090, 0.016776
0.232212, 0.016920, 0.017651
0.242410, 0.017742, 0.018519
0.252616, 0.018553, 0.019374
0.262831, 0.019346, 0.020212
0.273054, 0.020119, 0.021028
0.283286, 0.020868, 0.021818
0.293526, 0.021589, 0.022579
0.303775, 0.022283, 0.023310
0.314032, 0.022948, 0.024011
0.324299, 0.023587, 0.024682
0.334573, 0.024201, 0.025327
0.344857, 0.024796, 0.025951
0.355149, 0.025376, 0.026558
0.365449, 0.025948, 0.027156
0.375759, 0.026519, 0.027752
0.386077, 0.027094, 0.028352
0.396404, 0.027680, 0.028965
0.406739, 0.028284, 0.029595
0.417083, 0.028910, 0.030249
0.427436, 0.029563, 0.030931
0.437798, 0.030244, 0.031644
0.448168, 0.030957, 0.032391
0.458547, 0.031701, 0.033170
0.468935, 0.032474, 0.033982
0.479332, 0.033274, 0.034823
0.489737, 0.034098, 0.035689
0.500151, 0.034941, 0.036575
0.510574, 0.035795, 0.037475
0.521006, 0.036656, 0.038382
0.531447, 0.037514, 0.039287
0.541896, 0.038364, 0.040183
0.552355, 0.039199, 0.041063
0.562822, 0.040011, 0.041920
0.573298, 0.040796, 0.042748
0.583783, 0.041551, 0.043543
0.594277, 0.042271, 0.044300
0.604780, 0.042958, 0.045021
0.615292, 0.043611, 0.045704
0.625812, 0.044234, 0.046353
0.636342, 0.044831, 0.046971
0.646881, 0.045407, 0.047564
0.657428, 0.045968, 0.048138
0.667985, 0.046520, 0.048699
0.678550, 0.047070, 0.049255
0.689125, 0.047623, 0.049810
0.699708, 0.048184, 0.050372
0.710301, 0.048757, 0.050944
0.720903, 0.049344, 0.051531
0.731513, 0.049946, 0.052133
0.742133, 0.050564, 0.052752
0.752762, 0.051194, 0.053388
0.763400, 0.051836, 0.054041
0.774047, 0.052487, 0.054708
0.784703, 0.053142, 0.055388
0.795368, 0.053798, 0.056079
0.806042, 0.054452, 0.056778
0.816726, 0.055098, 0.057483
